retrieval,tag,topk,compare,metric,N_pairs,p_raw,p_adj,significant@0.05
BM25only,RQ2_order_effect,5,reversed - shuffled,bertscore,233,0.3863209202431739,1.0,False
BM25only,RQ2_order_effect,5,sequential - shuffled,rouge1,233,0.03939680362714871,0.07879360725429742,False
BM25only,RQ2_order_effect,5,sequential - shuffled,rouge2,233,0.09257033098675126,0.1851406619735025,False
BM25only,RQ2_order_effect,5,sequential - shuffled,rougeL,233,0.08896602511430386,0.17793205022860772,False
BM25only,RQ2_order_effect,5,sequential - shuffled,bleu,233,0.11612430798056163,0.23224861596112326,False
BM25only,RQ2_order_effect,5,sequential - shuffled,bertscore,233,0.7964150292273687,1.0,False
BM25+ColBERT,RQ1_context_length,1 vs 2,top1 - top2,rouge1,233,0.04544128930536261,0.04544128930536261,True
BM25+ColBERT,RQ1_context_length,1 vs 2,top1 - top2,rouge2,233,0.02660034867107937,0.02660034867107937,True
BM25+ColBERT,RQ1_context_length,1 vs 2,top1 - top2,rougeL,233,0.09249866514448753,0.09249866514448753,False
BM25+ColBERT,RQ1_context_length,1 vs 2,top1 - top2,bleu,233,0.027342068167152327,0.027342068167152327,True
BM25+ColBERT,RQ1_context_length,1 vs 2,top1 - top2,bertscore,233,1.926766366782824e-07,1.926766366782824e-07,True
BM25+ColBERT,RQ1_context_length,1 vs 3,top1 - top3,rouge1,233,0.00021434443993253825,0.00021434443993253825,True
BM25+ColBERT,RQ1_context_length,1 vs 3,top1 - top3,rouge2,233,0.0018678877727781287,0.0018678877727781287,True
BM25+ColBERT,RQ1_context_length,1 vs 3,top1 - top3,rougeL,233,0.0035487589124093724,0.0035487589124093724,True
BM25+ColBERT,RQ1_context_length,1 vs 3,top1 - top3,bleu,233,0.002180204757376247,0.002180204757376247,True
BM25+ColBERT,RQ1_context_length,1 vs 3,top1 - top3,bertscore,233,5.152940201256157e-14,5.152940201256157e-14,True
BM25+ColBERT,RQ1_context_length,1 vs 4,top1 - top4,rouge1,233,2.656813548344691e-05,2.656813548344691e-05,True
BM25+ColBERT,RQ1_context_length,1 vs 4,top1 - top4,rouge2,233,8.307684493821515e-05,8.307684493821515e-05,True
BM25+ColBERT,RQ1_context_length,1 vs 4,top1 - top4,rougeL,233,0.0003337587532814841,0.0003337587532814841,True
BM25+ColBERT,RQ1_context_length,1 vs 4,top1 - top4,bleu,233,1.6224925802179394e-05,1.6224925802179394e-05,True
BM25+ColBERT,RQ1_context_length,1 vs 4,top1 - top4,bertscore,233,1.6104775393835474e-13,1.6104775393835474e-13,True
BM25+ColBERT,RQ1_context_length,1 vs 5,top1 - top5,rouge1,233,0.012950973127831994,0.012950973127831994,True
BM25+ColBERT,RQ1_context_length,1 vs 5,top1 - top5,rouge2,233,0.04283678481684602,0.04283678481684602,True
BM25+ColBERT,RQ1_context_length,1 vs 5,top1 - top5,rougeL,233,0.11465916438876358,0.11465916438876358,False
BM25+ColBERT,RQ1_context_length,1 vs 5,top1 - top5,bleu,233,0.02741951872252416,0.02741951872252416,True
BM25+ColBERT,RQ1_context_length,1 vs 5,top1 - top5,bertscore,233,6.0166977671409044e-12,6.0166977671409044e-12,True
BM25+ColBERT,RQ1_context_length,2 vs 3,top2 - top3,rouge1,233,0.030923929643296124,0.030923929643296124,True
BM25+ColBERT,RQ1_context_length,2 vs 3,top2 - top3,rouge2,233,0.2620158835320626,0.2620158835320626,False
BM25+ColBERT,RQ1_context_length,2 vs 3,top2 - top3,rougeL,233,0.15372187910363289,0.15372187910363289,False
